feature_set,input_dim,model,train_accuracy,val_accuracy,test_accuracy,test_macro_f1
rich_84d,84,Logistic regression,0.5306024598707525,0.39970717423133234,0.3505974152645696,0.3144185217003898
rich_84d,84,HistGradientBoosting,1.0,0.42752562225475843,0.42599366008290657,0.3619240848100962
rich_84d,84,Chroma MLP (scaled),,0.3785185185185185,0.35157421289355323,0.3210511756237504
baseline_24d,24,Logistic regression,0.4809895833333333,0.4054580896686159,0.3462475633528264,0.3132269147842042
baseline_24d,24,HistGradientBoosting,1.0,0.4026354319180087,0.4025359668373567,0.3092160009618754
baseline_24d,24,Chroma MLP (unscaled),,0.4156,0.3665667166416791,0.3292556087744869
baseline_24d,24,Chroma MLP (scaled),,0.4259,0.3470764617691154,0.3094250746992909
