split,n_chunks,loss,accuracy,macro_f1
train,6285,0.00012085157156741472,1.0,1.0
val,1350,3.510812387988267,0.40263543191800877,0.3348106183633151
test,1334,3.3110069432218494,0.4025359668373567,0.3092160009618754
